Thẻ,Loại,Cấp,Thành phần,Giống Kanji,Onyomi,Kunyomi,Nanori,Đọc Chính,Đọc,Nghĩa Chính,Nghĩa Phụ
ト,bushu,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vòi Nước,To
ハ,bushu,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tám,Ha
一,bushu,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Một,
七,bushu,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bảy,
中,bushu,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Trong,Giữa
九,bushu,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chín,
二,bushu,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hai,
五,bushu,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Năm,
亠,bushu,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vung,
人,bushu,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Người,
入,bushu,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vào,
冂,bushu,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Đầu,
十,bushu,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mười,
土,bushu,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Đất,
大,bushu,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,To,Lớn
女,bushu,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nữ,Gái
子,bushu,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Trẻ Con,"Trẻ, Con"
小,bushu,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nhỏ,Bé
山,bushu,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Núi,
川,bushu,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sông,
日,bushu,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mặt Trời,
ナ,bushu,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Na,
メ,bushu,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mục Tiêu,Me
丆,bushu,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nấm,
丨,bushu,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gậy,
丶,bushu,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chấm,Giọt
丿,bushu,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ống Hút,
⺅,bushu,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Người,I
今,bushu,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bây Giờ,
儿,bushu,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chân,
